grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,poi_cnt_life_scarcity_abs,poi_cnt_transport_scarcity_abs,poi_cnt_economy_scarcity_abs,poi_cnt_public_service_scarcity_abs,poi_cnt_life_scarcity_q,poi_cnt_transport_scarcity_q,poi_cnt_economy_scarcity_q,poi_cnt_public_service_scarcity_q,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3223_46832,35483.68369391026,38001.51756624113,-2517.83387233087,13,0.0,0.0,2.0,0.0,0.355,0.485,0.995,0.505,0.645,0.515,0.0050000000000000044,0.495,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3235_47014,16491.53722205529,19636.53156154551,-3144.994339490222,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3242_46908,16379.130170773238,19636.53156154551,-3257.401390772273,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3190_46906,16342.325833834137,19636.53156154551,-3294.2057277113763,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3236_46887,15931.118489583332,19636.53156154551,-3705.413071962179,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46883,22392.36334385016,26136.07287230657,-3743.709528456409,13,2.0,0.0,0.0,0.0,0.96,0.485,0.45,0.505,0.040000000000000036,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3214_46982,15817.307610927484,19636.53156154551,-3819.223950618029,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_46978,15794.840607471957,19636.53156154551,-3841.690954073556,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3162_46902,15783.18435121194,19636.53156154551,-3853.347210333572,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3311_47014,15742.72881610577,19636.53156154551,-3893.8027454397416,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3210_46983,15732.060503054889,19636.53156154551,-3904.471058490624,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3353_46960,15665.664575821314,19636.53156154551,-3970.8669857241966,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
