grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3312_46887,3497.350452052613,4893.721102806051,-1396.370650753438,31,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3308_46883,2346.695443265995,3767.0945717658183,-1420.3991284998235,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3222_47008,2253.5885043305634,3767.0945717658183,-1513.506067435255,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3351_46983,2096.461564181674,3767.0945717658183,-1670.6330075841447,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3314_46887,1971.434286980376,3767.0945717658183,-1795.6602847854426,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3313_46885,2267.7747210272505,4266.954283670186,-1999.1795626429357,31,2.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3310_46886,2141.8792815532984,4266.954283670186,-2125.0750021168874,31,2.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3311_46889,3082.647586923376,5279.813623950852,-2197.166037027476,31,5.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3315_46886,782.9947401457841,3044.374541510608,-2261.379801364824,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3313_46884,2513.3736094130804,4893.721102806051,-2380.3474933929706,31,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3313_46887,1292.1103452496898,3767.0945717658183,-2474.9842265161287,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3315_46939,1850.8292205644564,4893.721102806051,-3042.8918822415944,31,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3314_46885,2232.0360896388947,6055.323045454485,-3823.28695581559,31,1.0,0.0,1.0,0.0,economy,life,transport,public_service,0.515,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3286_46873,9219.836968763437,18998.83475515611,-9778.997786392672,31,0.0,1.0,0.0,0.0,transport,public_service,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3055_46754,4583.929739990176,18998.83475515611,-14414.905015165932,31,0.0,1.0,0.0,0.0,transport,public_service,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
